language_en,language,notes,is_extinct
Ainu,"アイヌ イタク, Aynu Itak",Recognised Minority Language in: Japan,FALSE
Ajië,"A’jie, Ajië, Houailou, Wai, Wailu","Official language in: Houaïlou, New Caledonia",FALSE
Akan,"Akan, Fante, Twi",Official language in: Ghanaian/Ivoirian ethnic region of Akanland,FALSE
Akkadian,akkadû or 𒀝𒅗𒁺𒌑,Formerly an Official language in: Akkad or central Mesopotamia which is modern-day Iraq; Later it became a lingua franca in the Middle East and Egypt,TRUE
Akkala Sámi,äh'k'el'säm'la,Formerly spoken in: Russia,FALSE
Aklanon,"Akeanon, Binisaya nga Akeanon or Inakeanon",Official Regional Language in: Philippines,FALSE
Akum,aakuem,Spoken in: Cameroon and Nigeria,FALSE
Alabama,Albaamaha,"Spoken in: Texas, United States; Now extinct in: Oklahoma, United States",FALSE
Albanian,"Shqip, Shqiptar","Official language in: Albania and Kosovo; Recognised Minority Language in: Italy, Montenegro, North Macedonia, Romania, and Serbia",FALSE
Albanian (Gheg),gegnisht,Spoken in: Albania,FALSE
Albanian (Tosk),toskërisht,Spoken in: Albania,FALSE
Aleut,"Unangam Tunuu, Унáҥам Тунý","Official language in: Alaska, United States; Spoken in: Kamchatka Krai, Russia",FALSE
Algerian Saharan Arabic,dŷazāri' or جزائري,"Spoken in: Algeria, Libya, Mali, Mauritania, Morocco, Niger, and Western Sahara",FALSE
Algonquin,ᐊᓂᔑᓈᐯᒧᐎᓐ or anicinâbemowin,"Spoken in: Quebec, Canada",FALSE
Altai,Алтай тили,"Spoken in: Altai Republic, Russia",FALSE
Alyutor,nəməlʔu,"Spoken in: Chukotka Autonomous Okrug and Kamchatka Krai, Russia",FALSE
Amdang,Sìmí Amdangtí,"Spoken in: the Wadi Fira Region, Chad",FALSE
Amharic,ኣማርኛ,Official language in: Ethiopia,FALSE
Amo,Timap,Spoken in: Nigeria,FALSE
Amoy,廈門話 or 厦门话,Spoken in: the southern area of the Chinese province of Fujian,FALSE
Ancient Egyptian Language,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,Formerly spoken in: Ancient Egypt,TRUE
Ancient Greek,Ἑλληνική,Formerly spoken in: much of the Mediterranean Sea (until 1453),TRUE
Andalusian Arabic,عربية أندلسية,Formerly spoken in: Al-Andalus (modern-day Spain and Portugal),TRUE
Anfillo,Mao,Spoken in: Ethiopia,FALSE
Angika,अंगिका,"Official language in: Jharkhand, India; Spoken in: Nepal",FALSE
Anglo-Saxon,ᚠᚢᚦᚩᚱᚳ,Formerly Used in: Anglo-Saxon England,TRUE
Angloromani,Romanichal,Spoken in: the United Kingdom,FALSE
Apache,Ndéé,Spoken in: Southwestern United States,FALSE
Apsaalooke,Apsaalooke,"Spoken in: Great Plains, United States",FALSE
Arabela,Tapweyokwaka,Spoken in: Peru,FALSE
Arabic,العربية,Official language in: 27 countries and 4 international organizations,FALSE
Aragonese,l'Aragonés,"Official language in: Aragon, Spain",FALSE
Aramaic,ܐܪܡܝܐ,"Spoken in: Iran, Iraq, Israel, Jordan, Lebanon, Palestine, Syria, and Turkey",FALSE
Arapaho,Hinono'eitiit,"Spoken by: the Arapaho people, United States",FALSE
Arbëreshë Albanian,Arbërisht,Spoken in: Italy,FALSE
Archi,аршаттен,"Spoken in: Dagestan, Russia",FALSE
Arikara,Sáhniš,"Spoken in: North Dakota, United States",FALSE
Arin,bbˈirk,Formerly spoken in: Russia,TRUE
Armenian,Հայերեն,"Official language in: Armenia and Artsakh; Recognised Minority Language in: Cyprus, Poland, Romania, Samtskhe-Javakheti ( Georgia), Hungary, Iraq, Lebanon, Turkey, Ukraine, and California ( United States)",FALSE
Armenian (Eastern),Արևելահայերեն,Spoken in: Armenia,FALSE
Armenian (Western),Արեւմտահայերէն,Spoken by: the Armenian Diaspora,FALSE
Armenian Alphabet,Հայկական Այբուբեն,"Used in: Armenia , the Republic of Cyprus , the Islamic Republic of Iran , Artsakh , the Republic of Poland , Romania , and the United States",FALSE
Aromanian,Aromanian,"Recognised Minority Language in: Macedonia, Albania, Greece and Serbia",FALSE
Arpitan,arpetan or francoprovençâl,Spoken in: France and Switzerland; Recognised Minority Language in: Italy,FALSE
Arrernte,Arrernte Angkentye,"Spoken in: Northern Territory, Australia",FALSE
Arvanitika,arbërisht or αρbε̰ρίσ̈τ,Spoken in: Greece,FALSE
Assamese,অসমীয়া,"Spoken in: Bhutan, Bangladesh, and India",FALSE
Assiniboine,Nakhóda,Spoken in: Canada and the United States,FALSE
Asturian,Asturianu,"Spoken in: Asturias, Spain",FALSE
