language_en,language,notes,is_extinct
Inupiaq,Iñupiatun,Official language in: the American state of Alaska,FALSE
Irish,Gaeilge,"Official language in: Ireland; Recognised Minority Language in: Northern Ireland, United Kingdom",FALSE
Isthmus Nahuatl,Mela'tájtol,Spoken in: the Mexican states of Tabasco and Veracruz,FALSE
Istro Romanian,Istroromånă,"Recognised Minority Language in: Istria County , Italy , Sweden , Germany and North America and South America",FALSE
Italian,Italiano,"Official language in: the Croatian Istria County , Italy , San Marino , the Slovenian region of Slovenian Istria , Switzerland , and the Vatican City",FALSE
Ivatan,Chirin nu Ibatan,"Spoken in: Batanes, Philippines",FALSE
Japanese,"日本語, 日本語",National language in: Japan,FALSE
Jarawa,Aongəŋ,Official language in: Andaman and Nicobar Islands,FALSE
Javanese,ꦧꦱꦗꦮ,"Spoken in: the Indonesian islands of Borneo and Java, New Caledonia , and Suriname",FALSE
Jèrriais,Jèrriais,Spoken in: the British crown dependency of Jersey and the British royal fief of Sark,FALSE
Judaeo-Spanish,"גֿודֿיאו-איספאנייול‎, Ladino",Spoken by: the Sephardim Jewish Diaspora,FALSE
Jutish,Jydsk,Spoken in: Denmark,FALSE
Kabardian,Адыгэбзэ,"Eastern Circassian language. Official language in: the Russian autonomous republics of Kabardino-Balkaria and Karachay-Cherkessia; Spoken also in Turkey, Syria, Iraq, Germany, United States, Netherlands etc.",FALSE
Kabyle,شئعم,Spoken in: Algeria,FALSE
Kaingang,Kanhgág,Spoken in: Brazil,FALSE
Kaixana,Too few people for it to be written/typed (1 Person as of 2020),Spoken in: Brazil,FALSE
Kannada,ಕನ್ನಡ,Official language in: the Indian state of Karnataka,FALSE
Kanuri,Kanuri,"Spoken in: Cameroon , Chad , Niger , and Nigeria",FALSE
Kapampangan,Kapampangan,"Spoken in: Pampanga, Philippines",FALSE
Karakalpak,"Қарақалпақ тили, Qaraqalpaq tili",Official language in: the Uzbek autonomous republic of Karakalpakstan,FALSE
Karamojong,ŋaKaramojoŋ or ŋaKarimojoŋ,"Spoken in: the Moroto District, Karamoja Sub-Region, Northern Region, Republic of Uganda",FALSE
Karelian,Karjalan Kieli,Recognised Minority Language in: Finland and the Russian autonomous republic of Karelia,FALSE
Kashmiri,"كٲشُر, कॉशुर, Kạ̄šur, Koshur",Official language in: India,FALSE
Kashubian,Kaszëbsczi Jãzëk,Official language in: Some communes in the Polish voivodeship of Pomerania,FALSE
Kayah Li,ꤊꤢꤛꤢꤟ ꤜꤤ,"Used in: the Kayah, Republic of the Union of Myanmar",FALSE
Kazakh,Қазақ Tілі,Official language in: Kazakhstan and the Russian autonomous republic of the Altai Republic,FALSE
Kelantanese Malay,بهاس ملايو كلنتن or Baso Kelate,Spoken in: the Malaysian state of Kelantan,FALSE
Kendeje,Kendeje,"Spoken in: Ouaddaï Region, Republic of Chad",FALSE
Ket,Остыганна ӄа',Spoken in: the middle Yenisei basin in Krasnoyarsk Krai in Russia,FALSE
Khakas,Хакас Tілі,Spoken in: the Russian autonomous republic of Khakassia,FALSE
Khanty,ханты,"Spoken in: Khanty-Mansi , Yamalo-Nenets and Tomsk Oblast in Russia",FALSE
Khmer,ភាសាខ្មែរ,Official language in: Cambodia,FALSE
Khoekhoe,Khoekhoegowab,National Language in: Namibia,FALSE
Khowar,کھوار,Official language in: Pakistan,FALSE
Kimki,?,Spoken in: Indonesia,FALSE
Kinyarwanda,Ikinyarwanda or Runyarwanda,Official language in: Rwanda,FALSE
Komi,Коми,"Official language in: Komi Republic , Russia",FALSE
Konkani,"कोंकणी, Konknni, കൊങ്കണി, ಕೊಂಕಣಿ",Official language in: the Indian state of Goa,FALSE
Korean,"조선말, 한국어","Official language in: North Korea , South Korea , and the Chinese autonomous prefecture of Yanbian",FALSE
Koryak,нымылан,"Spoken in: Chukotka , Russia",FALSE
Kosraean,Kosrae,Official language in: Kosrae in Micronesia,FALSE
Kuanua,Tinata Tuna,Spoken in: East New Britain Province in Papua New Guinea,FALSE
Kuliak,Rub,Spoken in: the Republic of Uganda,FALSE
Kulitan,,"Used in: Pampanga, Philippines",FALSE
Kumyk,Къумукъ Tил,Official language in: the Russian autonomous republic of Dagestan,FALSE
Kunama,?,Spoken in: Eritrea and Ethiopia,FALSE
Kurdish,"Kurdí, کوردی, or K’öрди",Official language in: Iraq Turkey Iran Syria Armenia; Recognised Minority Language in: Germany,FALSE
Kurdish (Southern),"کوردی خوارین, Kurdîy Xwarîn",Spoken in: Iran and Iraq,FALSE
Kurmanji,"Kurmancî, کورمانجی","Spoken in: Turkey, Iran, Iraq, and Syria",FALSE
Kutchi,کچھی or કચ્છી,Spoken in: South Asia,FALSE
Kwadi,!Kwa/tse,"Formerly spoken in: Angola; (Kwadi is a ""click language"").",TRUE
Kwanyama,Oshikwanyama,Spoken in: Angola and Namibia,FALSE
Kyrgyz,Кыргыз тили,Official language in: Kyrgyzstan and the Russian autonomous republic of the Altai Republic,FALSE
Laal,yəw láà:l,Spoken in: Chad,FALSE
Ladakhi,ལ་དྭགས་སྐད།,"Spoken in: China , India , and Pakistan",FALSE
Ladin,Ladin,Spoken in: Italy,FALSE
Lakha,ལ་ཁ་,Spoken in: Wangdue Phodrang and Trongsa,FALSE
Lakota,Lakȟótiyapi,Spoken by: the Lakota people,FALSE
Lao,ພາສາລາວ,Official language in: Laos,FALSE
Latin,Lingua Latīna,"Official language in the Vatican City; Formerly spoken in the Roman Republic, Roman Empire, and in legal court",FALSE
Latvian,latviešu,Official language in: Latvia,FALSE
Laz,ლაზური ნენა,Spoken in: Georgia and Turkey,FALSE
Leonese,Llïonés,Official language in: the Spanish autonomous community of Castile and León,FALSE
Lepcha,ᰛᰩᰵ་ᰛᰧᰶᰵ,Official language in: the Indian state of Sikkim,FALSE
Limbu,ᤕᤰᤌᤢᤱ ᤐᤠᤴ,Official language in: the Indian state of Sikkim,FALSE
Limburgish,Lèmburgs,Official language in: the Netherlands,FALSE
Lingala,Lingála,Official language in: the Democratic Republic of the Congo and the Republic of the Congo,FALSE
Lisu,ꓡꓲ-ꓢꓴ or ꓡꓲꓢꓴ,Official language in: the Chinese autonomous prefecture of Nujiang Lisu and the Chinese autonomous county of Weixi Lisu,FALSE
Lithuanian,Lietuvių,Official language in: Lithuania; Recognised Minority Language in: Poland,FALSE
Livonian,Līvõ Kēļ or Rāndakēļ,Spoken in: Latvia,FALSE
Low German,Plattdüütsch,"Spoken in: Denmark , Germany , and the Netherlands",FALSE
Low Prussian Dialect,Niederpreußisch,"Formerly spoken in: Prussia , now some scattered speakers in the Americas",FALSE
Luba-Kasai,Tshiluba,Spoken in: the Democratic Republic of the Congo,FALSE
Luganda,"Luganda, LùGáànda, Oluganda",Spoken in: Uganda,FALSE
Luiseño,Cham'teela,"Spoken in: the southern area of the State of California, United States",FALSE
Luo,Kavirondo or Dholuo,Spoken in: Kenya and Tanzania,FALSE
Luri,لری or Lori,"Spoken in: Iran , Iraq , Kuwait , Oman , and the United Arab Emirates",FALSE
Luxembourgish,Lëtzebuergesch,Official language in: Luxembourg; Recognised Minority Language in: the Belgian community of the French Community of Belgium,FALSE
Maasai,ɔl Maa,Spoken by: the Kenyan/Tanzanian Maasai people,FALSE
Macedonian,Mакедонски,"Official language in: North Macedonia; Recognised Minority Language in: Albania , Romania , and Serbia",FALSE
Madurese,Basa Mathura,Official language in: East Java in Indonesia,FALSE
Magahi,मगही,Spoken in: India and Nepal,FALSE
Magar,मगर भाषा,Official language in: the Indian state of Sikkim,FALSE
Maguindanao,Maguindanao,"Spoken in: Maguindanao, Philippines",FALSE
Maithili,"मैथिली, মৈথিলী",Official language in: the Indian state of Bihar and Nepal,FALSE
Makassarese,"Basa Mangkasara', ᨅᨔ ᨆᨀᨔᨑ",Spoken in: the southern tip of the Indonesian province of South Sulawesi,FALSE
Malagasy,Malagasy,Official language in: Madagascar,FALSE
Malay,بهاس ملايو or Bahasa Melayu,"Official language in: Brunei , Indonesia , Malaysia , and Singapore",FALSE
Malayalam,മലയാളം,Official language in: the Indian state of Kerala and the Indian territories of Lakshadweep and Puducherry,FALSE
Maltese,Malti,Official language in: Malta,FALSE
Manchu,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ,Spoken by: the Manchu people,FALSE
Mandarin,國語,Spoken in: Most of China,FALSE
Mandombe,Mandombe,Used in: Western Africa,FALSE
Manx,Gaelg,Official language in: the Isle of Man,FALSE
Māori,te Reo Māori,Official language in: New Zealand,FALSE
Māori English,Māori English,Spoken in: New Zealand,FALSE
Marathi,मराठी,Official language in: the Indian state of Maharashtra and the Indian territories of Daman and Diu and Dadra and Nagar Haveli,FALSE
Marshallese,"Ebon, Kajin M̧ajeļ, Kajin Majõl",Official language in: the Marshall Islands,FALSE
Marwari,"मारवाड़ी, مارواڑی",Spoken in: Rajasthan in India,FALSE
Masalit,kana masara,"Spoken in: Dar Masalit, Darfur, Republic of the Sudan",FALSE
Meadow Mari,олык марий,"Official language in: Mari El , Russia",FALSE
Meänkieli,Meänkieli,Recognised Minority Language in: Kingdom of Sweden,FALSE
Meitei,"মনিপুরি, মৈতৈলোল্, মৈতৈলোন্, মৈথৈ",Official language in: the Indian state of Manipur,FALSE
Miami-Illinois,Myaamia,Spoken in: the Illinois Confederation,FALSE
Michoacán Nahuatl,Pómaro Nahuatl,Spoken in: Mexico,FALSE
Min,閩語 or 闽语,Spoken in: the southeastern area of China,FALSE
Min Bei,闽北语,Spoken in: the Chinese prefecture-level city of Nanping,FALSE
Min Dong,閩東語,Spoken in: the Chinese prefecture-level cities of Fuzhou and Ningde,FALSE
Min Nan,閩南語 or 闽南语,Spoken in: the southeastern area of China,FALSE
Min Zhong,闽中话,Spoken in: the southeastern area of China,FALSE
Mon,ဘာသာ မန်,Spoken in: the Myanma delta of the Irrawaddy River,FALSE
Monégasque,Munegascu,Spoken in: Monaco,FALSE
Mongolian,"Монгол Хэл, ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ",Official language in: the Chinese autonomous region of Inner Mongolia and Mongolia,FALSE
Montenegrin,"crnogorski, црногорски","Official language in: Montenegro; Recognised Minority Language in: Albania , Bosnia and Herzegovina , and the Serbian municipality of Mali Iđoš in the autonomous region of Vojvodina",FALSE
Mor,? Spoken,in: Indonesia,FALSE
Muscogee Creek,"Mvskoke, Mvskokē","Spoken in: the American states of Alabama , Florida , Georgia , and Oklahoma",FALSE
Musgu,Mulwi,Spoken in: Cameroon and Chad,FALSE
Muskum,Muzuk,Formerly spoken in: Chad,TRUE
Mussau-Emira,Mussau-Emira,Spoken in: Mussau Island of St Matthias Islands and Emira Island part of Papua New Guinea,FALSE
N'Ko,ߒߞߏ,Used in: Guinea and Ivory Coast,FALSE
Nagumi,Gong or Ngong,Formerly spoken in: Cameroon,TRUE
Nahuatl,"Māsēwallahtōlli, Mexicano, or Nāhuatlahtōlli",Official language in: Mexico,FALSE
Naukan Yupik,?,"Spoken in: Chukotka Autonomous Okrug , Russia",FALSE
Navajo,Diné bizaad,Spoken on the Navajo Nation,FALSE
Ndyuka,,Spoken in: French Guiana and Suriname,FALSE
Nepal Bhasa,नेपाल भाषा,Official language in: the Indian state of Sikkim and Nepal,FALSE
Nepali,नेपाली,"Official language in: the Indian district of the Darjeeling district , the Indian state of Sikkim , and Nepal",FALSE
New Zealand Sign Language,Sign Language,Official language in: New Zealand,FALSE
Ngbee,Lingbee,Formerly spoken in: the Democratic Republic of the Congo,TRUE
Nihali,?,Spoken in: Madhya Pradesh and Maharashtra in India,FALSE
Ningbo,寧波閒話,Spoken in: the Chinese sub-provincial division of Ningbo,FALSE
Northern Thai,ᨣᩴᩤᨾᩮᩥᩬᨦ,"Spoken in: the northern area of Thailand , and some other parts of Southeast Asia",FALSE
Norwegian,Norsk,Official language in: Norway,FALSE
Nuosu/Yi,ꆈꌠ꒿,Spoken in: China,FALSE
Nyangia,Nyang'i,Spoken in: the Republic of Uganda,FALSE
Occitan,Occitan,Official language in: the Spanish comarca of Val d'Aran,FALSE
Odia,ଓଡ଼ିଆ,Official language in: the Indian states of Jharkhand and Odisha,FALSE
Oirat,ᡆᡕᡅᠷᠠᡑ ᡘᡄᠯᡄᠨ,Spoken in: Russia Mongolia and China,FALSE
Oirata,?,Spoken in: Indonesia,FALSE
Ojibwe,ᐊᓂᔑᓈᐯᒧᐎᓐ,Spoken by: the Ojibwe people,FALSE
Okinawan Japanese,ウチナーヤマトゥグチ,Recognised Regional Language in: Japan,FALSE
Old Church Slavonic,"Словѣ́ньскъ Ѩзꙑ́къ, ⰔⰎⰀⰂⰑⰐⰊⰍ",Formerly spoken in: Eastern Europe,TRUE
Old English,"Anglisc, Ænglisc, Englisc, or ᚫᛝᛚᛁᛋᚻ",Formerly spoken in: Scotland and Wales,TRUE
Omotik,Laamoot,"Formerly spoken in: Great Rift Valley, Kenya",TRUE
Onge,Öñge,Spoken in: Andaman and Nicobar Islands,FALSE
Ontong Java,Luangiua,"Spoken in: Ontong Java Atoll, Solomon Islands",FALSE
Oroch,Орочи кэсэни,"Spoken in: Khabarovsk Krai , Russia",FALSE
Orok,ульта,"Spoken in: Sakhalin Oblast , Russia",FALSE
Oromo,Afaan Oromoo,Official language in: Oromia in Ethiopia; Recognised Minority Language in: Kenya,FALSE
Osmanya,𐒋𐒘𐒈𐒑𐒛𐒒𐒕𐒀,Used in: the Federal Republic of Somalia,FALSE
Ossetian,"иронау, ирон ӕвзаг",Spoken in North Ossetia and South Ossetia,FALSE
Pahari,पहाड़ी,"Spoken in: the Indian states of Himachal Pradesh, Jammu and Kashmir , Punjab, Sikkim , Uttarakhand, and West Bengal; Nepal , the Pakistani state of Azad Kashmir , and Greater Tibet",FALSE
Palula,پالولہ,Spoken in: the Pakistani district of the Chitral District,FALSE
Pandan Bikol,Pandanon,"Spoken in: Catanduanes, Philippines",FALSE
Pangasinan,Pangasinan,"Spoken in: Pangasinan, Philippines",FALSE
Paratio,?,Spoken in: Brazil,TRUE
Parya,Парья,"Spoken in: Afghanistan , Tajikistan and Uzbekistan",FALSE
Pashto,پښتو,Official language in: Afghanistan; Recognised Minority Language in: Pakistan,FALSE
Pattani Malay,"بهاس جاوي, Bahasa Jawi, or ภาษายาวี","Spoken in: the Thai provinces of Narathiwat, Pattani, Songkhla, and Yala",FALSE
Persian,فارسی,"Official language in: Afghanistan , Iran , and Tajikistan",FALSE
Phoenician,𐤃𐤁𐤓𐤉𐤌 𐤊𐤍𐤏𐤍𐤉𐤌,Formerly spoken in: the Near East,TRUE
Pidgin,?,"Spoken in: Nigeria, Ghana, Cameroon, Equatorial Guinea",FALSE
Piman,Tepiman,"Spoken in: the State of Arizona, United States and the Free and Sovereign State of Durango, United Mexican States",FALSE
Pipil,Náhuat or Nawat,Spoken in: the Salvadoran cities of San Salvador and Sonsonate; and the Salvadoran department of La Libertad,FALSE
Pirahã,xapaitíiso,Spoken in: the Brazilian state of Amazonas .,FALSE
Pitjantjatjara,Pitjantjatjara,Spoken in: the northwestern area of the Australian state of South Australia,FALSE
Plautdietsch,Plautdietsch,"Spoken in: Eastern Europe, with some scattered speakers in the Americas",FALSE
Polish,"Język polski, polski, or polszczyzna","Official language in: Poland; Recognised Minority Language in: the Czech Republic , Romania , Slovakia , and Ukraine",FALSE
Portuguese,Português,"Official language in: Angola , Brazil , Cape Verde , East Timor , Equatorial Guinea , Guinea-Bissau , Macau , Mozambique , Portugal , and São Tomé and Príncipe",FALSE
Pothohari,پوٹھوهاری or پوٹھواری,Spoken in: the Pakistani state of Azad Kashmir,FALSE
Pu-Xian Min,興化話 or 莆仙話,"Spoken in: the Chinese county of Xianyou and the Chinese prefecture-level cities of Fuzhou, Putian, and Quanzhou",FALSE
Punjabi,"पंजाबी, ਪੰਜਾਬੀ, or پنجابی","Official language in: the Indian federal district of Delhi ; and the Indian states of Haryana, Himachal Pradesh, Punjab, and West Bengal; Recognised Minority Language in: the Pakistani province of Punjab",FALSE
Quanzhou,泉州話,Spoken in: the southern area of the Chinese province of Fujian,FALSE
Quechuan,Runasimi,"Spoken by: the Quechuan people in Argentina , Bolivia , Colombia , Ecuador , and Peru; Quinqui; Spoken in: Spain",FALSE
Raga,Hano,"Spoken in: the Pentecost Island, Republic of Vanuatu",FALSE
Rajasthani,राजस्थानी,Spoken in: the Indian state of Rajasthan,FALSE
Ramanos,?,Formerly spoken in: Bolivia,TRUE
Rinconada,Rinconada,"Spoken in: Camarines Sur, Philippines",FALSE
Rohingya,Rohingya,Official language in: the Rakhine State,FALSE
Romani,Romani Ćhib,Spoken by: the Romani people ; recognised as a minority language in Sweden,FALSE
Romanian,Română,"Official language in: Moldova , Romania , Pridnestrovian Moldavian Republic , and the Serbian autonomous province of Vojvodina; Recognised Minority Language in: Hungary , Italy , Serbia , Spain , and Ukraine",FALSE
Romansh,Rumantsch,Official language in: Switzerland,FALSE
Rotokas,Rotokas,Spoken in: Bougainville part of Papua New Guinea,FALSE
Runic,ᚱᚢᚾᛟ,Formerly Used by: 2nd Century Germanics,TRUE
Russian,Русский,Official language in: 10 Countries and 4 Organizations; Recognised Minority Language in: 7 Countries,FALSE
Rusyn,"Русиньский Язык, Русиньска Бесїда","Official language in: The Serbian autonomous province of Vojvodina; Recognised Minority Language in: Croatia , Poland , Romania , Serbia , and Slovakia",FALSE
Ruthenian,Руский Языкъ,Formerly spoken in: the Polish-Lithuanian Commonwealth and the Grand Duchy of Lithuania,TRUE
Sadri,"सादरी (नागपुरी), ସାଦ୍ରୀ, সাদরি",Official language in: India,FALSE
Sami (Inari),anarâškielâ,Recognised as a minority language in Finland,FALSE
Sami (Kildin),Кӣллт са̄мь кӣлл,Recognised as a minority language in Russia,FALSE
Sami (Lule),julevsámegiella,"Recognised as a minority language in Norway, Sweden",FALSE
Sami (Northern),davvisámegiella,"Recognised as a minority language in Finland, Norway, Sweden",FALSE
Sami (Pite),bidumsámegiella,"Recognised as a minority language in Norway, Sweden",FALSE
Sami (Skolt),"sääʹmǩiõll, nuõrttsääʹmǩiõll","Recognised as a minority language in Russia, and formerly spoken in Norway",FALSE
Sami (Southern),åarjelsaemien gïele,Recognised as a minority language in Norway,FALSE
Sámi (Ter),"Са̄мькӣлл, saa´mekiil",A moribund language spoken in Russia,FALSE
Sami (Ume),ubmejensámien giella,"Recognised as a minority language in Sweden, and formerly in Norway",FALSE
Samoan,Gagana Sāmoa,Official language in: American Samoa and Samoa,FALSE
Sanskrit,"संस्कृतम्, संस्कृता वाक्",Official language in: India,FALSE
Sapudi,Bhâsa Sapudi,"Spoken in: Sapudi Island, Indonesia",FALSE
Saraiki,"سرائیکی, ਸਰਾਇਕੀ, सराइकी",Spoken in: the Pakistani province of Bahawalpur South Punjab,FALSE
Sardinian,Sardu,Official language in: the Italian autonomous region of Sardinia; Recognised Minority Language in: Italy,FALSE
Sasak,ᬪᬵᬲᬵᬲᬓ᭄ᬱᬓ᭄,"Spoken in: West Nusa Tenggara , Indonesia",FALSE
Saurashtra,ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢬꢵ,"Spoken in: the Indian states of Andhra Pradesh, Gujarat, Karnataka, Kerala, Maharashtra, and Tamil Nadu",FALSE
Scots,"Scots, Scottis, Scots leid, Lallans",Recognised Minority Language in: Northern Ireland and Scotland,FALSE
Scottish Gaelic,Gàidhlig,Recognised Minority Language in: Scotland,FALSE
Serbian,"Српски, Srpski","Official language in: Bosnia and Herzegovina and Serbia; Recognised Minority Language in: Croatia , the Czech Republic , Hungary , Montenegro , North Macedonia , Romania and Slovakia",FALSE
Serbo-Croatian,"srpskohrvatski/српскохрватски, also hrvatskosrpski/хрватскосрпски","Official language in: Bosnia and Herzegovina , Croatia , Montenegro Serbia; Recognised Minority Language in: Austria , Czech Republic , Hungary , Italy , North Macedonia , Romania and Slovakia",FALSE
Serer,"Seereer, Seereer-Siin",Spoken in: the Republic of the Gambia and the Republic of Senegal,FALSE
Seroa,"ǃGãǃne, ǁKuǁe","Formerly spoken in: Lesotho and South Africa; (Seroa is a ""click language"".)",TRUE
Shan,လိၵ်ႈတႆး,Spoken in: the Myanmar states of the Kachin State and the Shan State and by the Shan people,FALSE
Shanghaiese,上海闲话,Spoken in: the Chinese municipality of Shanghai,FALSE
Shavian,𐑖𐑱𐑝𐑾𐑯,Invented by Ronald Kingsley Read as an alternative phonetic alphabet to the English language.,FALSE
Sherpa language,"शेर्पा, ཤེར་པཱ།",Official language in: the Indian state of Sikkim,FALSE
Shona,Shona,Official language in: Zimbabwe,FALSE
Sicilian,Sicilianu,"Spoken in: the Italian region of Apulia , Calabria , Campania ; the Italian comune of Leece ; Malta ; and the Italian autonomous region of Sicily",FALSE
Siddhaṃ,𑖭𑖰𑖟𑖿𑖠𑖽,"Used in: Central Asia, Japan",FALSE
Sikkimese,འབྲས་ལྗོངས་,Official language in: the Indian state of Sikkim,FALSE
Sindhi,سنڌي,Official language in: India and the Pakistani province of Sindh,FALSE
Sinhala,සිංහල,Official language in: Sri Lanka,FALSE
Slovak,Slovenčina,"Official language in: Slovakia , and the Serbian autonomous province of Vojvodina; Recognised Minority Language in: the Czech Republic , Hungary and Ukraine",FALSE
Slovene,Slovenščina,"Official language in: Slovenia; Recognised Minority Language in: Austria , Hungary , and Italy",FALSE
Somali,"اللغة الصومالية, Af-Soomaali",Official language in: Somalia; Recognised Minority Language in: Djibouti and Ethiopia,FALSE
Sorani,"سۆرانی, Soranî",Spoken in: Iran and Iraq,FALSE
Sotho,Sesotho,"Official language in: Lesotho and South Africa; Southern Quechua; Spoken in: Bolivia , Peru , Chile and Argentina",FALSE
Spanish,Español,"Official language in: 21 countries, 6 dependant entities, and 23 international organisations",FALSE
Stellingwarfs,Stellingwerfs,Spoken in: the Netherlands,FALSE
Sumerian,𒅴𒂠 (EME.G̃IR15),Was spoken in: Southern Iraq and Southeastern Iran; Official language in: the India,TRUE
Sundanese,ᮘᮞ ᮞᮥᮔ᮪ᮓ,Official language in: the Indonesian province of West Java,FALSE
Surajpuri,"सुरजापुरी, সুরজাপুরী",Official language in: India,FALSE
Susuami,?,"Spoken in: Morobe Province , Papua New Guinea",FALSE
Swahili,Kiswahili,"Official language in: Kenya , Tanzania , and Uganda",FALSE
Swedish,Svenska,Official language in: Finland and Sweden,FALSE
Swiss German,Schwyzerdütsch,"Spoken in: the Austrian state of Vorarlberg , the Italian regions of the Aosta Valley and Piedmont , Liechtenstein , and Switzerland",FALSE
Sylheti,"ছিলটী, সিলেটী",Spoken in: the Bangladeshi division of Greater Sylhet ; the Indian state of Assam's Barak Valley ; and the Indian state of Tripura,FALSE
Taa,ǃXóõ,"Spoken in: Ghanzi , Kgalagadi , Kweneng , Southern Districts and Hardap",FALSE
Tagalog,"ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔, Wikang Tagalog",Official language in: the Philippines,FALSE
Tagbanwa,ᝦᝪᝨᝯ,"Used in: Palawan, Philippines",FALSE
Tahitian,"Reo Mā'ohi, Reo Tahiti",Spoken in: the French Polynesian area of the Society Islands,FALSE
Tai Dam,ꪺꪕꪒꪾ,"Spoken in: the Chinese county of the Jinping Miao, Yao, and Dai Autonomous County",FALSE
Tai Khün,ไทเขิน,"Spoken in: Shan State, Republic of the Union of Myanmar and the Kingdom of Thailand",FALSE
Tai Lü,ᦑᦺᦟᦹᧉ,"Spoken in: Yunnan Province, People's Republic of China",FALSE
Tai Nüa,ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ,"Official language in: the Dehong Dai and Jingpo Autonomous Prefecture, People's Republic of China",FALSE
Tai Tham,ᨲ᩠ᩅᩫᨾᩮᩬᩥᨦ,Used in: Southeast Asia,FALSE
Tajik,Тоҷикӣ,Official language in: the Tajikistan,FALSE
Tamang,तामाङ,"Official language in: Sikkim, Republic of India and the Federal Democratic Republic of Nepal",FALSE
Tamil,தமிழ்,"Official language in: the Indian states of Tamil Nadu, union territories of Pondicherry and Andaman and Nicobar Islands, Sri Lanka , Republic of Singapore; Recognised Minority Language in: Malaysia",FALSE
Tangut,".mw-parser-output .Tangut{font-family:""Tangut Yinchuan"",""Tangut N4694"",""New Tangut"",""New Tangut Std"",""Tangut TWU"",""TH-Tshyn-P1"",""TH-Feon-B"",""Noto Serif Tangut""}𗼇𗟲",Formerly the Official language in: the Tangut Empire (Western Xia),TRUE
Tatar,"تاتارچا, Tatarça, Tатарча","Official language in: the Republic of Tatarstan, Russian Federation",FALSE
Tausug,Bahasa Sūg,"Spoken in: Sulu, Philippines",FALSE
Telugu,తెలుగు,Official language in: the Indian states of Andhra Pradesh and Telangana and town of Yanam,FALSE
Teochew,潮州話,Spoken by: the Chinese Teochew people,FALSE
Tepes,Soo,Spoken in: the Republic of Uganda,FALSE
Terengganu,Ccakak Tranung,Spoken in: Terengganu,FALSE
Teribe,"Naso, Norteño, Quequexque, Teribe, Tiribi, or Térraba","Spoken in: the Costa Rican provinces of Limón and Puntarenas , and the Panamanian provinces of Bocas del Toro and Chiriquí",FALSE
Tetum,Lia-Tetun,"Official language in: the Democratic Republic of Timor-Leste; Recognised Minority Language in: East Nusa Tenggara, Republic of Indonesia",FALSE
Thai,ภาษาไทย,Official language in: the Kingdom of Thailand,FALSE
Tibetan,དབུས་སྐད་,"Official language in: the Tibet Autonomous Region, People's Republic of China and Upper Mustang, Federal Democratic Republic of Nepal",FALSE
Tigrinya,ትግርኛ,Official language in: the State of Eritrea and the Federal Democratic Republic of Ethiopia,FALSE
Tobagonian Creole,?,Spoken in: Tobago part of Trinidad and Tobago,FALSE
Tofa,Тоъфа дыл,"Spoken in: Irkutsk Oblast , Russia",FALSE
Tok Pisin,Tok Pisin,Official language in: the Independent State of Papua New Guinea,FALSE
Tongan,Lea faka-Tonga,Official language in: the Kingdom of Tonga,FALSE
Tongva,Gabrielino,"Formerly spoken in: the City of Los Angeles , United States",TRUE
Trinidadian Creole,?,Spoken in: Trinidad in Trinidad and Tobago,FALSE
Tsez,"Цез Мец, Цезяс Мец","Spoken in: the Republic of Dagestan, Russian Federation",FALSE
Tswana,Setswana,"Official language in: the Republic of Botswana , the Republic of South Africa , and the Republic of Zimbabwe",FALSE
Tuareg,"Tamahaq, Tamajaq, Tamasheq, or ⵜⴰⵎⴰⵌⴰⵆ",Recognised Minority Language in: the Republic of Mali and the Republic of Niger,FALSE
Tübatulabal,Pakaːnil,Spoken in: California,FALSE
Tulu,"ತುಳು ಬಾಸೆ, തുളു ബാസെ, or","Spoken in: the Indian states of Karnataka, Kerala, and Maharashtra",FALSE
Tumpoon,?,Spoken in: Cambodia,FALSE
Tunica,Luhchi Yoroni,"Spoken in: the Louisiana, United States of America",FALSE
Tunisian Arabic,تونسي,Spoken in: Tunisia,FALSE
Turkish,Türkçe,"Official language in: Turkey , Northern Cyprus And Cyprus; Spoken in: the Bosnia And Herzegovina . Greece . Iraq . Kosovo . North Macedonia . Romania . Bulgaria . Syria . Netherlands . Belgium . Germany",FALSE
Turkmen,Türkmençe or Türkmen dili,Official language in: Turkmenistan; Recognised Minority Language in: Afghanistan,FALSE
Tuvan,тыва дыл,Spoken in: Tuva,FALSE
Ubykh,twaxəbza,Formerly spoken in: Turkey,TRUE
Uduk,Tw'ampa or T'wampa,Spoken in: the Federal Democratic Republic of South Sudan and the Republic of the Sudan,FALSE
Ukrainian,Українська,"Official language in: the Pridnestrovian Moldavian Republic and Ukraine; Recognised Minority Language in: Bosnia and Herzegovina , the Republic of Croatia , the Czech Republic , Hungary , the Republic of Moldova , the Republic of Poland , Romania , the Republic of Serbia , and the Slovak Republic",FALSE
Upper Sorbian,Hornjoserbsce,Spoken in: the State of Saxony in Germany,FALSE
Urdu,اُردُو,"Official language in: the Islamic Republic of Pakistan and the Indian states of Bihar, Delhi, Jammu and Kashmir , Uttar Pradesh, Jharkhand, West Bengal, and Telangana",FALSE
